*Vertices 340
1 "人体经络显示屏,2011-06-16"
91 "校准方法,2010-08-06"
92 "解调方法,2011-03-11"
93 "AuSn,2009-09-08"
94 "Au5Sn,2009-09-08"
95 "发光板,2010-12-09"
96 "EP,2009-05-07"
97 "LED外延片,2009-10-19"
98 "外延片,2009-10-19"
99 "外延,2009-10-19"
100 "LED,2009-04-09"
101 "液晶显示模块,2011-03-25"
102 "二极管,2009-04-09"
103 "整流二极管,2011-10-17"
104 "稳压二极管,2010-02-10"
105 "三极管,2009-07-28"
106 "语音警报器,2010-12-30"
107 "挂绳,2011-12-29"
108 "掩膜,2010-08-13"
109 "联轴器,2010-11-20"
110 "扩散剂,2011-06-17"
111 "听筒,2011-11-28"
112 "模糊增强算法,2009-12-16"
113 "GSM,2011-11-22"
114 "止血扣碗,2010-07-12"
115 "教具,2011-05-03"
116 "玻璃,2009-04-09"
117 "雪糕板,2011-06-09"
118 "香薰托盘,2011-12-29"
119 "环形器,2011-03-11"
120 "通道,2009-10-19"
121 "接收管,2011-02-23"
122 "LED灯具散热壳体,2011-12-30"
123 "LED光源,2009-04-09"
124 "日光灯平面光源,2009-10-23"
125 "电热丝,2011-09-07"
126 "塑料,2009-04-09"
127 "腐蚀液,2009-10-30"
128 "Au-Sn合金电镀液,2009-09-08"
129 "缩水甘油,2011-03-16"
130 "电子元器件,2010-12-14"
131 "光电转换器件,2009-12-16"
132 "转换器,2009-08-26"
133 "铝基板,2009-04-09"
134 "基板,2010-05-07"
135 "集热板,2011-10-17"
136 "导热板,2009-05-24"
137 "缓冲层,2009-10-19"
138 "晶体振荡器,2009-07-28"
139 "导热陶瓷,2011-09-20"
140 "绝缘靴,2012-04-25"
141 "弹性硅胶,2011-08-15"
142 "探针,2009-12-16"
143 "内量子效率,2010-03-29"
144 "基座,2010-12-08"
145 "IP软核,2009-12-16"
146 "红外线发射管,2012-05-02"
147 "照明扶钉器,2011-09-21"
148 "滤光片,2009-12-16"
149 "螺旋管,2012-01-20"
150 "聚光玻璃罩,2011-12-30"
151 "聚光碗,2011-03-25"
152 "稀释剂,2009-09-16"
153 "发动机,2010-12-09"
154 "电动机,2010-09-02"
155 "散热片,2009-05-24"
156 "散热器,2009-05-24"
157 "电加热器,2011-09-07"
158 "干涉仪,2011-03-11"
159 "光谱仪,2009-05-07"
160 "液相色谱仪,2010-12-31"
161 "发电机,2010-11-20"
162 "直流电机,2011-05-03"
163 "荧光体,2009-09-16"
164 "发光体,2009-04-09"
165 "加热片,2011-09-10"
166 "硅橡胶,2009-09-16"
167 "透明胶,2009-10-23"
168 "光刻胶,2010-02-24"
169 "密封胶,2010-03-11"
170 "填充区域,2010-12-07"
171 "防音壁,2010-12-30"
172 "SiO2,2009-05-07"
173 "放大器,2009-08-11"
174 "半导体,2009-04-09"
175 "电路板,2009-04-09"
176 "Al2O3,2009-05-08"
177 "NH4H2PO4,2010-01-29"
178 "GaAs,2009-11-04"
179 "MQW,2009-10-19"
180 "SMT,2011-09-10"
181 "ESD,2009-10-19"
182 "ITO,2009-10-22"
183 "GPIO,2009-07-31"
184 "硅氧磷灰石,2010-01-29"
185 "键合,2009-10-23"
186 "燃气涡轮,2010-12-01"
187 "客户,2009-09-16"
188 "冷却片,2010-11-26"
189 "焊盘,2009-09-08"
190 "滑动变阻器,2009-08-20"
191 "介质箱,2012-01-20"
192 "摄像机,2011-03-25"
193 "装饰图案,2010-12-31"
194 "含硅,2011-03-16"
195 "光子晶体,2012-04-26"
196 "圆盘,2010-10-29"
197 "荧光光谱,2009-05-07"
198 "码道,2010-03-04"
199 "金属银纳米粒子,2010-12-23"
200 "太阳能,2010-03-04"
201 "太阳能电池板,2010-03-04"
202 "风能,2010-11-23"
203 "蓄电池,2009-08-07"
204 "充电电池,2010-03-04"
205 "锂电池,2009-07-28"
206 "光电池,2009-12-16"
207 "LED照明设备,2010-11-23"
208 "蓄电设备,2010-11-23"
209 "FPC连接器,2011-09-10"
210 "FFC连接器,2011-09-10"
211 "LED芯片,2009-05-24"
212 "芯片,2009-05-07"
213 "金属层,2010-11-26"
214 "涂层,2009-05-08"
215 "电流扩展层,2009-10-30"
216 "电抗器,2011-04-15"
217 "继电器,2009-08-13"
218 "充电器,2009-08-07"
219 "冷凝器,2011-08-04"
220 "存储器,2009-12-16"
221 "捕虫箱,2011-06-09"
222 "光触媒,2010-06-18"
223 "酸盐,2009-05-07"
224 "硅油,2009-09-16"
225 "SrCO3,2009-05-07"
226 "Eu2O3,2009-05-07"
227 "亚硫酸,2009-09-08"
228 "硝酸,2009-05-07"
229 "Eu2,2009-05-07"
230 "去离子水,2009-05-07"
231 "硬脂酰胺,2009-09-16"
232 "Li,2009-05-07"
233 "液体石蜡,2009-09-16"
234 "电感,2009-08-26"
235 "灰度,2009-12-16"
236 "离子,2009-05-07"
237 "耳机,2009-09-16"
238 "电视机,2010-04-13"
239 "电极,2009-08-07"
240 "接触层,2009-10-19"
241 "磁铁,2011-09-21"
242 "边缘检测,2009-12-16"
243 "ARCTAN,2011-03-11"
244 "数字音频接口,null"
245 "冰柜,2012-01-18"
246 "排水槽,2011-11-15"
247 "MP4播放器,2011-11-28"
248 "电阻,2009-07-28"
249 "基色,2009-05-07"
250 "Au-Sn合金,2009-09-08"
251 "Au-30at.％Sn合金,2009-09-08"
252 "发射模块,2011-10-31"
253 "驱动模块,2011-06-30"
254 "脉冲信号,2010-04-23"
255 "交通灯,2010-12-01"
256 "便携棋具,2012-04-24"
257 "蒸发腔,2011-12-29"
258 "散热腔,2011-07-20"
259 "加热管,2011-09-07"
260 "防护服,2011-12-31"
261 "光子晶体谐振腔,2012-04-26"
262 "基料,2011-12-30"
263 "丙酮,2009-05-07"
264 "激光,2009-04-09"
265 "粘附层,2011-04-07"
266 "超声波,2011-02-23"
267 "SIM,2011-11-22"
268 "真空吸盘,2010-08-13"
269 "MOCVD,2009-10-19"
270 "标准芯片工艺制作,2009-10-19"
271 "湿法刻蚀,2009-11-04"
272 "干法刻蚀,2009-11-04"
273 "湿法腐蚀,2010-08-13"
274 "空穴,2009-10-22"
275 "玻璃体,2010-12-23"
276 "指南针,2011-12-08"
277 "EP-CAB共聚物,2010-09-01"
278 "太阳能电子板,2011-10-12"
279 "洗墙灯,2009-04-09"
280 "检测池,2010-12-31"
281 "平面板,2012-01-30"
282 "射灯,2009-04-09"
283 "酯键,2012-02-01"
284 "检测仪,2010-04-30"
285 "检测板,2010-09-02"
286 "臭氧仪,2011-10-11"
287 "转动轴,2010-12-08"
288 "光电耦合器,2010-07-22"
289 "臭氧,2009-09-16"
290 "防滑垫,2011-09-21"
291 "屏幕,2009-11-04"
292 "读取器,2011-09-09"
293 "瞄准镜,2011-12-06"
294 "聚光镜,2010-11-26"
295 "放大镜,2011-08-15"
296 "半透半反镜,2010-12-31"
297 "透镜,2009-04-09"
298 "后视镜,2009-09-21"
299 "模拟音频,2010-12-10"
300 "舰船,2011-06-30"
301 "USB接头,2010-11-29"
302 "透明装饰,2010-12-31"
303 "同轴电缆,2012-05-11"
304 "透明导电层,2011-04-07"
305 "反射层,2009-11-04"
306 "发光层,2009-10-22"
307 "吸液芯,2009-12-28"
308 "甲基,2009-09-08"
309 "信息卡,2011-09-09"
310 "防护罩,2011-12-29"
311 "转子,2011-05-03"
312 "弹簧,2010-11-20"
313 "碳泡沫,2011-12-30"
314 "芯线,2012-05-11"
315 "电磁感应,2011-05-03"
316 "发光笔套,2011-12-07"
317 "CAN总线,2010-12-30"
318 "CAB,2010-09-01"
319 "VGA,2009-12-16"
320 "蜂鸣器,2010-10-21"
321 "KVM,2010-12-10"
322 "滚轮按摩器,2011-12-08"
323 "扬声器,2009-07-24"
324 "绝对位置,2012-01-13"
325 "聚光帽,2010-10-27"
326 "电磁锁心,2011-11-28"
327 "固定支架,2010-11-26"
328 "激发光,2009-05-07"
329 "发光管,2010-03-04"
330 "光电管,2010-03-04"
331 "提示仪,2011-02-23"
332 "水平仪,2011-11-17"
333 "晶体闸流管,2009-08-13"
334 "信息存储卡,2011-11-28"
335 "络合剂,2009-09-08"
336 "笔筒,2011-09-01"
337 "导热柱,2011-09-20"
338 "DMA,2009-12-16"
339 "插座,2009-09-16"
340 "电流阻挡层,2009-11-04"
*Arcs
34 1 0.14
73 1 0.21
100 1 0.07
3 2 0.21
2 4 0.32
5 2 0.08
8 2 0.03
2 12 0.16
17 2 0.23
18 2 0.16
19 2 0.07
2 22 0.45
26 2 0.09
34 2 0.04
58 2 0.45
2 60 0.32
73 2 0.07
2 75 0.32
2 79 0.32
86 2 0.45
100 2 0.23
102 2 0.06
2 111 0.32
116 2 0.18
126 2 0.07
132 2 0.1
2 161 0.16
169 2 0.16
172 2 0.09
173 2 0.13
174 2 0.05
175 2 0.13
2 192 0.18
200 2 0.2
2 202 0.32
203 2 0.16
2 207 0.18
2 208 0.32
212 2 0.08
236 2 0.15
237 2 0.22
2 247 0.32
249 2 0.39
2 278 0.32
291 2 0.33
305 2 0.12
2 327 0.22
338 2 0.18
5 3 0.33
6 3 0.08
8 3 0.04
15 3 0.19
3 16 0.13
3 17 0.24
18 3 0.09
19 3 0.08
34 3 0.14
39 3 0.12
3 52 0.33
3 66 0.24
3 74 0.19
97 3 0.12
98 3 0.09
99 3 0.08
100 3 0.22
3 101 0.67
102 3 0.14
3 104 0.13
105 3 0.08
3 121 0.19
123 3 0.07
132 3 0.2
137 3 0.12
3 148 0.15
3 165 0.33
174 3 0.05
175 3 0.2
176 3 0.08
179 3 0.09
3 180 0.47
182 3 0.19
183 3 0.19
187 3 0.14
3 192 0.38
205 3 0.15
3 209 0.33
3 210 0.33
211 3 0.07
212 3 0.24
217 3 0.15
3 220 0.22
236 3 0.15
239 3 0.11
240 3 0.13
248 3 0.16
264 3 0.09
269 3 0.1
270 3 0.15
274 3 0.13
3 291 0.17
3 292 0.33
306 3 0.13
308 3 0.1
3 309 0.24
3 320 0.19
12 4 0.5
100 4 0.07
111 4 1.0
237 4 0.71
247 4 1.0
291 4 0.26
8 5 0.08
15 5 0.29
5 16 0.25
5 17 0.24
18 5 0.26
5 19 0.52
26 5 0.14
5 34 0.07
36 5 0.13
5 42 0.25
5 44 0.18
5 52 0.25
5 53 0.11
5 54 0.18
5 55 0.25
5 63 0.13
5 66 0.35
5 71 0.25
5 73 0.11
5 96 0.07
100 5 0.29
5 101 0.38
102 5 0.15
5 105 0.06
116 5 0.19
5 120 0.07
5 121 0.14
123 5 0.15
126 5 0.17
5 129 0.18
5 132 0.15
133 5 0.08
5 148 0.11
5 152 0.14
5 154 0.14
5 161 0.13
164 5 0.09
5 165 0.25
5 166 0.14
5 172 0.07
5 173 0.2
174 5 0.11
175 5 0.26
5 176 0.06
5 180 0.35
5 182 0.07
5 183 0.14
5 186 0.25
5 187 0.2
5 192 0.14
5 194 0.25
5 209 0.25
5 210 0.25
5 212 0.27
5 220 0.25
5 223 0.17
5 231 0.25
5 232 0.06
5 233 0.25
5 236 0.06
5 239 0.04
5 248 0.08
5 253 0.18
5 254 0.13
5 263 0.1
264 5 0.2
279 5 0.25
5 281 0.25
282 5 0.1
5 284 0.25
5 285 0.18
5 291 0.13
5 293 0.25
297 5 0.13
5 299 0.25
5 308 0.14
5 320 0.14
5 321 0.25
5 328 0.08
5 338 0.14
8 6 0.03
6 9 0.32
6 10 0.17
14 6 0.09
26 6 0.13
32 6 0.07
36 6 0.18
6 38 0.32
39 6 0.65
6 45 0.32
6 46 0.23
6 53 0.21
6 64 0.23
6 69 0.32
73 6 0.05
6 90 0.32
96 6 0.12
97 6 0.65
98 6 0.83
99 6 0.95
100 6 0.32
102 6 0.37
6 108 0.23
116 6 0.13
120 6 0.2
123 6 0.09
126 6 0.05
6 127 0.56
133 6 0.07
6 134 0.08
137 6 0.65
6 143 0.32
6 148 0.21
6 168 0.46
6 170 0.23
172 6 0.38
174 6 0.64
176 6 0.72
6 178 0.61
179 6 0.64
181 6 0.41
6 182 0.66
6 185 0.26
6 195 0.32
6 200 0.07
211 6 0.5
212 6 0.49
6 213 0.41
6 215 0.57
230 6 0.21
232 6 0.16
236 6 0.32
239 6 0.72
240 6 0.61
248 6 0.11
249 6 0.09
6 261 0.32
263 6 0.19
264 6 0.37
6 265 0.23
6 268 0.23
269 6 0.73
270 6 0.51
6 271 0.46
6 272 0.51
6 273 0.32
6 274 0.26
6 291 0.36
297 6 0.06
6 304 0.23
6 305 0.52
6 306 0.61
308 6 0.33
328 6 0.15
6 340 0.32
8 7 0.16
95 7 0.35
100 7 0.1
102 7 0.07
126 7 0.16
133 7 0.21
174 7 0.1
232 7 0.17
274 7 0.27
282 7 0.29
329 7 0.24
8 11 0.05
8 12 0.05
8 13 0.29
8 14 0.12
15 8 0.13
8 16 0.13
8 17 0.11
18 8 0.14
8 19 0.13
8 20 0.22
8 21 0.11
8 22 0.08
8 23 0.11
8 24 0.08
26 8 0.13
8 27 0.11
8 28 0.16
8 32 0.22
8 33 0.19
8 34 0.37
36 8 0.21
8 39 0.04
8 42 0.11
8 44 0.08
8 46 0.11
8 48 0.16
8 52 0.11
8 55 0.11
8 56 0.11
8 57 0.11
8 59 0.16
8 61 0.11
8 63 0.11
8 73 0.26
8 74 0.06
8 80 0.11
8 84 0.11
8 87 0.11
8 95 0.16
8 96 0.12
8 97 0.04
8 98 0.03
8 99 0.05
100 8 0.67
102 8 0.32
8 103 0.11
8 104 0.21
8 105 0.2
8 108 0.11
8 109 0.11
8 110 0.16
8 115 0.11
116 8 0.27
8 117 0.11
8 118 0.11
8 120 0.22
8 121 0.13
8 122 0.11
123 8 0.36
8 125 0.13
126 8 0.28
8 127 0.04
8 130 0.16
8 132 0.1
133 8 0.3
8 134 0.27
8 135 0.11
8 136 0.16
8 138 0.06
8 139 0.11
8 144 0.22
8 146 0.11
8 147 0.11
8 149 0.11
8 151 0.16
8 153 0.11
8 154 0.06
8 155 0.43
8 156 0.44
8 159 0.08
8 161 0.11
8 162 0.11
164 8 0.21
8 166 0.06
8 168 0.05
8 169 0.22
8 171 0.11
8 172 0.12
8 173 0.09
174 8 0.29
175 8 0.4
8 176 0.08
8 178 0.04
8 179 0.09
8 182 0.06
8 183 0.06
8 185 0.04
8 187 0.22
8 188 0.11
8 189 0.06
8 191 0.11
8 193 0.11
8 196 0.11
8 197 0.08
8 200 0.14
8 201 0.15
8 203 0.23
8 204 0.11
8 205 0.1
8 207 0.13
8 211 0.19
8 212 0.3
8 213 0.05
8 214 0.11
8 215 0.08
8 216 0.16
8 217 0.05
8 218 0.04
8 219 0.11
8 220 0.04
8 221 0.11
8 222 0.25
8 223 0.11
8 225 0.08
8 226 0.08
8 228 0.06
8 229 0.05
8 230 0.05
8 231 0.11
8 232 0.26
8 233 0.11
8 234 0.25
8 236 0.13
8 239 0.16
8 240 0.04
8 241 0.13
8 245 0.11
8 246 0.11
8 248 0.3
8 249 0.04
8 253 0.08
8 254 0.11
8 255 0.08
8 256 0.11
8 257 0.11
8 258 0.19
8 259 0.08
8 260 0.11
8 262 0.11
8 263 0.04
264 8 0.12
8 266 0.11
8 269 0.03
8 273 0.08
8 274 0.17
279 8 0.11
282 8 0.27
8 284 0.05
8 286 0.11
8 287 0.11
8 289 0.22
8 290 0.11
8 291 0.06
8 294 0.11
297 8 0.25
8 298 0.11
8 300 0.11
8 301 0.11
8 302 0.11
8 307 0.11
8 308 0.06
8 311 0.11
8 312 0.11
8 313 0.11
8 315 0.08
8 320 0.13
8 323 0.11
8 326 0.11
8 327 0.16
8 328 0.07
8 329 0.26
8 331 0.11
8 333 0.05
8 334 0.11
8 337 0.11
8 339 0.09
10 9 0.53
38 9 1.0
39 9 0.5
53 9 0.63
98 9 0.39
99 9 0.32
100 9 0.1
102 9 0.14
116 9 0.27
120 9 0.2
123 9 0.29
148 9 0.63
172 9 0.39
174 9 0.21
176 9 0.34
178 9 0.47
179 9 0.39
182 9 0.41
195 9 1.0
212 9 0.17
213 9 0.63
215 9 0.5
232 9 0.33
236 9 0.32
239 9 0.23
248 9 0.11
261 9 1.0
264 9 0.38
269 9 0.41
271 9 0.71
272 9 0.63
297 9 0.18
328 9 0.47
11 10 0.38
16 10 0.23
17 10 0.09
18 10 0.1
10 38 0.53
39 10 0.27
10 43 0.38
53 10 0.68
10 82 0.38
10 85 0.53
10 92 0.38
98 10 0.21
99 10 0.17
100 10 0.19
102 10 0.23
116 10 0.29
10 119 0.38
120 10 0.11
123 10 0.15
126 10 0.17
131 10 0.53
132 10 0.23
142 10 0.27
148 10 0.68
10 158 0.38
159 10 0.27
172 10 0.21
174 10 0.17
176 10 0.18
178 10 0.25
179 10 0.21
182 10 0.22
185 10 0.14
10 195 0.53
197 10 0.27
10 198 0.27
10 200 0.12
10 201 0.17
10 204 0.19
206 10 0.38
212 10 0.09
10 213 0.34
215 10 0.27
218 10 0.15
232 10 0.18
236 10 0.17
239 10 0.12
10 243 0.38
248 10 0.06
10 261 0.53
264 10 0.4
269 10 0.22
271 10 0.38
272 10 0.34
297 10 0.28
10 325 0.38
328 10 0.5
10 329 0.13
10 330 0.38
16 11 0.2
17 11 0.12
18 11 0.26
53 11 0.22
11 84 0.5
100 11 0.15
102 11 0.05
116 11 0.1
11 118 0.5
123 11 0.1
126 11 0.11
131 11 0.35
132 11 0.15
142 11 0.35
148 11 0.22
174 11 0.07
175 11 0.1
185 11 0.19
187 11 0.2
11 198 0.35
11 200 0.16
11 201 0.22
203 11 0.13
11 204 0.25
206 11 0.5
218 11 0.2
220 11 0.17
11 222 0.22
236 11 0.11
11 257 0.5
11 284 0.25
328 11 0.17
11 329 0.17
11 330 0.5
16 12 0.2
18 12 0.13
34 12 0.07
83 12 0.5
100 12 0.15
12 111 0.5
114 12 0.5
12 140 0.5
200 12 0.16
201 12 0.22
203 12 0.13
237 12 0.35
12 247 0.5
12 260 0.5
291 12 0.26
13 14 0.23
13 16 0.08
13 17 0.15
18 13 0.05
19 13 0.19
13 28 0.29
13 32 0.53
13 33 0.12
34 13 0.42
13 48 0.14
13 50 0.2
13 57 0.2
13 59 0.14
13 61 0.2
13 73 0.52
13 78 0.2
13 95 0.2
96 13 0.11
100 13 0.36
102 13 0.39
13 103 0.2
13 104 0.46
105 13 0.61
13 113 0.2
116 13 0.08
13 120 0.12
13 121 0.24
123 13 0.04
13 130 0.14
13 132 0.25
133 13 0.06
13 134 0.29
138 13 0.24
13 146 0.2
13 151 0.29
155 13 0.05
156 13 0.19
164 13 0.08
13 173 0.33
174 13 0.15
175 13 0.13
13 179 0.06
13 181 0.09
13 183 0.12
13 185 0.08
13 187 0.17
13 189 0.12
13 190 0.14
13 200 0.06
13 203 0.11
13 204 0.2
205 13 0.18
211 13 0.13
212 13 0.37
13 216 0.29
13 217 0.37
13 218 0.17
13 219 0.2
13 220 0.07
232 13 0.05
13 234 0.54
13 239 0.37
248 13 0.73
13 252 0.2
13 254 0.1
13 258 0.12
13 266 0.2
13 267 0.2
13 274 0.08
282 13 0.17
13 284 0.1
13 288 0.29
13 291 0.05
13 320 0.12
323 13 0.1
13 329 0.07
13 331 0.2
13 333 0.31
13 339 0.17
15 14 0.22
14 17 0.09
26 14 0.22
32 14 0.33
34 14 0.21
36 14 0.2
37 14 0.38
44 14 0.27
63 14 0.19
14 69 0.27
73 14 0.24
14 95 0.19
96 14 0.1
100 14 0.19
102 14 0.23
14 104 0.14
105 14 0.17
14 110 0.27
123 14 0.08
14 125 0.22
126 14 0.17
14 127 0.15
14 144 0.19
152 14 0.22
14 157 0.38
163 14 0.22
166 14 0.44
172 14 0.21
174 14 0.22
175 14 0.08
176 14 0.09
190 14 0.27
203 14 0.2
211 14 0.25
212 14 0.14
14 215 0.13
14 216 0.53
223 14 0.25
224 14 0.38
230 14 0.17
232 14 0.09
234 14 0.43
236 14 0.09
239 14 0.19
248 14 0.18
14 259 0.27
263 14 0.15
14 288 0.27
289 14 0.31
14 291 0.1
297 14 0.19
14 306 0.14
308 14 0.22
328 14 0.13
333 14 0.19
18 15 0.15
26 15 0.33
36 15 0.31
15 37 0.58
15 44 0.41
15 52 0.58
100 15 0.13
102 15 0.12
116 15 0.11
123 15 0.12
126 15 0.26
133 15 0.17
15 152 0.33
15 163 0.33
164 15 0.22
15 166 0.33
15 172 0.16
174 15 0.09
175 15 0.24
15 176 0.14
15 187 0.24
15 211 0.13
15 212 0.07
15 223 0.19
15 224 0.58
15 232 0.14
264 15 0.31
279 15 0.58
282 15 0.24
15 289 0.24
15 291 0.15
297 15 0.29
15 308 0.17
15 328 0.19
17 16 0.19
18 16 0.36
19 16 0.28
16 23 0.2
16 24 0.14
16 31 0.2
34 16 0.19
16 43 0.2
16 47 0.2
53 16 0.27
16 66 0.14
16 72 0.2
73 16 0.04
16 74 0.12
16 78 0.2
16 83 0.2
16 85 0.14
16 88 0.2
16 89 0.2
16 92 0.2
100 16 0.37
16 101 0.1
102 16 0.2
16 104 0.08
105 16 0.05
16 106 0.2
16 114 0.2
116 16 0.12
16 119 0.2
120 16 0.12
16 121 0.12
123 16 0.04
126 16 0.18
131 16 0.28
132 16 0.3
138 16 0.12
16 140 0.2
142 16 0.14
16 146 0.2
148 16 0.09
16 154 0.23
16 158 0.2
16 161 0.1
164 16 0.08
173 16 0.08
174 16 0.06
175 16 0.08
181 16 0.09
185 16 0.08
16 186 0.2
187 16 0.24
16 192 0.12
16 198 0.14
203 16 0.05
205 16 0.18
206 16 0.3
212 16 0.17
217 16 0.09
220 16 0.33
232 16 0.05
239 16 0.03
16 243 0.2
248 16 0.16
16 252 0.2
16 253 0.14
16 254 0.1
264 16 0.16
282 16 0.08
16 284 0.3
16 285 0.28
291 16 0.1
16 292 0.2
16 293 0.2
297 16 0.1
16 309 0.14
16 317 0.2
16 320 0.12
16 324 0.2
16 325 0.2
16 326 0.2
328 16 0.07
16 329 0.07
16 332 0.2
16 334 0.2
339 16 0.16
18 17 0.44
19 17 0.17
26 17 0.07
32 17 0.07
34 17 0.23
17 50 0.24
17 58 0.17
17 60 0.24
17 65 0.24
17 66 0.34
73 17 0.1
17 74 0.28
17 75 0.24
17 79 0.24
17 86 0.17
17 95 0.12
96 17 0.06
100 17 0.3
17 101 0.36
102 17 0.15
17 104 0.18
105 17 0.11
112 17 0.24
17 113 0.24
17 115 0.24
126 17 0.17
132 17 0.22
138 17 0.14
145 17 0.24
17 154 0.14
17 161 0.12
17 162 0.24
17 165 0.24
173 17 0.1
175 17 0.1
17 180 0.34
182 17 0.07
17 198 0.17
17 200 0.23
17 201 0.22
17 202 0.24
203 17 0.13
17 204 0.12
205 17 0.22
17 207 0.14
17 208 0.24
17 209 0.24
17 210 0.24
212 17 0.23
217 17 0.11
218 17 0.1
220 17 0.16
232 17 0.06
234 17 0.09
235 17 0.24
239 17 0.12
242 17 0.24
248 17 0.16
249 17 0.1
17 253 0.17
264 17 0.06
17 267 0.24
17 288 0.34
291 17 0.13
17 292 0.24
17 309 0.17
17 311 0.24
17 315 0.17
319 17 0.24
17 320 0.14
17 329 0.16
17 330 0.24
338 17 0.28
18 19 0.24
26 18 0.07
18 34 0.21
36 18 0.07
18 53 0.12
18 58 0.18
18 60 0.26
18 66 0.18
18 74 0.15
18 75 0.26
18 79 0.26
18 86 0.18
18 96 0.14
100 18 0.28
18 101 0.13
102 18 0.08
18 104 0.1
18 112 0.26
116 18 0.15
123 18 0.11
126 18 0.12
18 132 0.16
133 18 0.08
18 138 0.15
18 140 0.26
18 145 0.26
18 154 0.15
164 18 0.1
18 173 0.11
174 18 0.08
175 18 0.11
18 183 0.15
18 187 0.21
18 198 0.18
18 200 0.08
18 201 0.12
18 203 0.07
18 204 0.13
18 205 0.23
18 206 0.13
18 212 0.12
18 217 0.12
18 218 0.11
18 220 0.34
18 232 0.06
18 235 0.26
18 242 0.26
18 248 0.08
18 249 0.11
18 253 0.18
264 18 0.14
279 18 0.26
282 18 0.11
18 284 0.13
18 291 0.07
18 292 0.26
297 18 0.06
18 309 0.18
18 319 0.26
18 320 0.3
18 323 0.26
18 326 0.26
18 329 0.09
18 330 0.26
18 334 0.26
18 338 0.3
18 339 0.11
19 20 0.11
26 19 0.07
34 19 0.19
36 19 0.06
19 66 0.16
19 71 0.23
19 73 0.05
19 78 0.23
96 19 0.06
100 19 0.32
19 101 0.11
102 19 0.16
19 105 0.16
19 113 0.23
116 19 0.22
19 120 0.07
19 121 0.13
123 19 0.09
126 19 0.05
19 132 0.14
19 138 0.26
19 148 0.1
19 154 0.26
19 161 0.11
19 173 0.28
174 19 0.03
175 19 0.14
19 181 0.1
19 183 0.13
19 185 0.09
19 186 0.23
19 192 0.13
19 196 0.23
19 205 0.1
211 19 0.05
212 19 0.33
19 220 0.15
232 19 0.05
19 239 0.04
19 248 0.22
19 252 0.23
19 253 0.16
19 254 0.23
19 255 0.16
264 19 0.06
19 267 0.23
19 281 0.23
