*Vertices  135
48 33 0.21
35 48 0.35
36 48 0.27
37 48 0.34
48 38 0.15
39 48 0.31
42 48 0.11
48 43 0.21
48 45 0.29
48 46 0.25
47 48 0.17
135 48 4.0E-4
49 1 0.12
49 3 0.1
5 49 0.36
49 9 0.13
49 10 0.14
49 11 0.18
49 12 0.13
49 13 0.1
49 14 0.2
17 49 0.15
49 28 0.2
49 29 0.09
37 49 0.35
39 49 0.21
49 45 0.28
49 46 0.24
49 48 0.17
135 49 0.0
50 4 0.45
50 34 1.0
50 35 0.58
50 36 0.45
50 37 0.1
50 39 0.15
135 50 1.0E-4
51 3 0.24
51 23 1.0
51 27 0.5
51 29 0.22
51 33 1.0
37 51 0.14
39 51 0.21
51 45 0.34
48 51 0.21
135 51 3.0E-4
5 52 0.14
8 52 0.28
52 16 1.0
21 52 0.71
52 25 1.0
37 52 0.1
52 46 0.41
135 52 1.0E-4
53 1 0.2
53 2 0.35
5 53 0.07
53 8 0.28
53 10 0.25
53 11 0.16
53 12 0.22
53 13 0.18
17 53 0.26
53 26 0.5
53 30 0.5
53 31 0.5
37 53 0.2
53 38 0.25
39 53 0.22
53 41 0.2
53 42 0.19
53 47 0.29
135 53 3.0E-4
5 54 0.31
8 54 0.12
17 54 0.16
54 24 0.45
29 54 0.28
32 54 0.26
37 54 0.23
39 54 0.26
54 40 0.45
41 54 0.18
42 54 0.17
46 54 0.18
49 54 0.39
135 54 1.0E-4
4 55 0.18
5 55 0.29
8 55 0.45
55 15 0.29
55 16 0.41
55 21 0.29
55 25 0.41
29 55 0.39
36 55 0.18
37 55 0.25
39 55 0.18
55 41 0.5
55 46 0.17
55 52 0.41
135 55 1.0E-4
8 56 0.28
10 56 0.25
13 56 0.35
17 56 0.17
56 31 1.0
37 56 0.1
39 56 0.15
53 56 0.5
135 56 1.0E-4
5 57 0.2
9 57 0.32
57 15 0.5
18 57 0.41
27 57 0.5
37 57 0.14
39 57 0.1
43 57 0.5
46 57 0.29
48 57 0.21
49 57 0.2
57 54 0.32
135 57 1.0E-4
5 58 0.14
8 58 0.28
10 58 0.25
17 58 0.17
37 58 0.1
39 58 0.15
42 58 0.38
45 58 0.24
46 58 0.41
47 58 0.58
135 58 1.0E-4
59 2 0.2
3 59 0.19
4 59 0.52
59 6 0.82
7 59 0.67
59 13 0.2
17 59 0.1
59 19 0.82
59 20 0.82
59 22 0.82
35 59 0.67
36 59 0.52
37 59 0.18
59 38 0.29
39 59 0.25
42 59 0.22
45 59 0.28
59 46 0.24
47 59 0.33
48 59 0.52
135 59 5.0E-4
60 3 0.24
60 23 1.0
60 27 0.5
60 29 0.22
60 33 1.0
37 60 0.14
39 60 0.21
60 45 0.34
48 60 0.21
60 51 1.0
135 60 3.0E-4
3 61 0.33
10 61 0.25
11 61 0.32
12 61 0.45
13 61 0.35
28 61 0.71
37 61 0.1
49 61 0.29
135 61 1.0E-4
62 5 0.4
62 8 0.09
62 16 0.32
62 17 0.11
62 21 0.22
62 25 0.32
37 62 0.32
39 62 0.18
62 45 0.15
62 46 0.26
62 48 0.48
62 49 0.18
62 52 0.32
62 54 0.14
62 55 0.26
135 62 1.0E-4
5 63 0.42
8 63 0.33
63 16 0.3
63 21 0.43
63 25 0.3
63 29 0.29
37 63 0.34
39 63 0.26
63 41 0.37
63 45 0.07
63 46 0.12
63 48 0.27
63 49 0.09
63 52 0.3
63 54 0.13
63 55 0.49
62 63 0.48
135 63 1.0E-4
5 64 0.2
8 64 0.2
10 64 0.18
17 64 0.25
37 64 0.14
39 64 0.21
42 64 0.27
45 64 0.17
64 46 0.29
47 64 0.41
64 58 0.71
135 64 0.0
2 65 0.35
3 65 0.33
11 65 0.32
37 65 0.1
38 65 0.5
135 65 1.0E-4
66 3 0.24
5 66 0.1
66 9 0.32
66 15 0.5
66 18 0.41
66 23 0.5
66 27 1.0
66 29 0.22
66 33 0.5
37 66 0.14
39 66 0.1
66 43 0.5
66 45 0.17
48 66 0.43
66 51 0.5
66 57 0.5
66 60 0.5
135 66 3.0E-4
67 4 0.45
67 34 1.0
67 35 0.58
67 36 0.45
67 37 0.1
67 39 0.15
67 50 1.0
135 67 1.0E-4
68 1 0.24
68 5 0.24
68 14 0.41
68 17 0.1
37 68 0.18
39 68 0.08
68 45 0.14
68 46 0.24
68 49 0.17
68 54 0.26
68 57 0.41
68 62 0.18
135 68 0.0
69 1 0.2
69 4 0.67
69 6 0.71
69 7 0.58
69 14 0.35
69 19 0.71
69 20 0.71
69 22 0.71
69 34 0.5
69 35 0.87
69 36 0.67
69 37 0.2
69 39 0.22
69 45 0.36
69 46 0.2
69 48 0.3
69 49 0.14
69 50 0.5
69 59 0.58
69 67 0.5
135 69 4.0E-4
5 70 0.2
70 8 0.39
17 70 0.25
70 24 0.71
70 26 0.71
70 29 0.22
70 32 0.41
37 70 0.14
39 70 0.21
70 40 0.71
70 41 0.29
70 42 0.53
70 47 0.41
70 53 0.35
70 54 0.32
135 70 3.0E-4
71 1 0.11
71 3 0.09
71 4 0.58
71 5 0.33
71 6 0.37
71 7 0.3
71 8 0.21
71 9 0.35
71 14 0.18
71 15 0.37
71 17 0.18
71 18 0.45
71 19 0.37
71 20 0.37
71 22 0.37
71 23 0.18
71 26 0.26
71 27 0.37
71 29 0.33
71 33 0.18
71 34 0.26
71 35 0.45
71 36 0.58
71 37 0.39
71 39 0.45
71 42 0.2
71 43 0.37
71 45 0.25
71 46 0.21
71 47 0.15
71 48 0.31
71 49 0.22
71 50 0.26
71 51 0.18
71 53 0.13
71 54 0.35
71 55 0.11
71 57 0.37
71 59 0.3
71 60 0.18
71 66 0.37
71 67 0.26
71 68 0.3
71 69 0.39
71 70 0.18
135 71 7.0E-4
72 1 0.19
72 2 0.25
3 72 0.31
5 72 0.4
8 72 0.13
72 9 0.11
10 72 0.12
72 11 0.15
72 12 0.11
72 13 0.17
72 14 0.33
72 15 0.17
17 72 0.12
72 18 0.27
72 21 0.17
23 72 0.17
27 72 0.17
72 28 0.17
33 72 0.17
37 72 0.43
72 38 0.24
39 72 0.24
42 72 0.27
72 43 0.33
45 72 0.4
72 46 0.1
47 72 0.27
48 72 0.21
49 72 0.2
51 72 0.17
72 57 0.17
72 58 0.24
72 59 0.14
60 72 0.17
62 72 0.07
63 72 0.07
72 64 0.17
66 72 0.17
68 72 0.14
69 72 0.12
71 72 0.18
135 72 4.0E-4
4 73 0.89
73 6 0.71
7 73 0.58
73 15 0.35
73 18 0.29
73 19 0.71
73 20 0.71
73 22 0.71
35 73 0.58
36 73 0.89
37 73 0.2
39 73 0.22
45 73 0.24
73 46 0.2
48 73 0.3
55 73 0.2
59 73 0.58
69 73 0.5
71 73 0.52
135 73 4.0E-4
4 74 0.77
74 6 0.82
7 74 0.67
15 74 0.41
74 19 0.82
74 20 0.82
74 22 0.82
35 74 0.67
36 74 0.77
37 74 0.18
39 74 0.17
45 74 0.28
46 74 0.24
48 74 0.35
55 74 0.24
59 74 0.67
69 74 0.58
71 74 0.45
73 74 0.87
135 74 4.0E-4
4 75 0.63
75 6 1.0
7 75 0.82
75 19 1.0
75 20 1.0
75 22 1.0
35 75 0.82
36 75 0.63
37 75 0.14
39 75 0.21
45 75 0.34
46 75 0.29
48 75 0.43
59 75 0.82
69 75 0.71
71 75 0.37
73 75 0.71
74 75 0.82
135 75 3.0E-4
2 76 0.5
3 76 0.47
11 76 0.45
76 28 0.5
37 76 0.14
38 76 0.71
76 65 0.71
72 76 0.17
135 76 2.0E-4
8 77 0.28
10 77 0.25
13 77 0.35
17 77 0.17
77 31 1.0
37 77 0.1
39 77 0.15
53 77 0.5
77 56 1.0
135 77 1.0E-4
78 2 0.16
78 3 0.15
78 4 0.8
78 6 0.63
78 7 0.52
78 11 0.14
78 18 0.26
78 19 0.63
78 20 0.63
78 22 0.63
78 34 0.45
78 35 0.77
78 36 0.8
78 37 0.23
78 38 0.22
78 39 0.26
78 45 0.22
78 46 0.18
78 48 0.27
78 50 0.45
78 59 0.52
78 65 0.45
78 67 0.45
78 69 0.67
78 71 0.46
78 73 0.67
78 74 0.52
78 75 0.63
78 76 0.32
135 78 5.0E-4
79 2 0.35
3 79 0.33
79 13 0.35
17 79 0.17
37 79 0.1
79 38 0.5
39 79 0.15
42 79 0.38
47 79 0.58
48 79 0.3
79 59 0.58
79 72 0.24
135 79 1.0E-4
4 80 0.45
15 80 0.71
36 80 0.45
37 80 0.1
55 80 0.41
71 80 0.26
73 80 0.5
80 74 0.58
135 80 1.0E-4
2 81 0.2
3 81 0.19
5 81 0.24
8 81 0.16
10 81 0.29
17 81 0.1
37 81 0.18
39 81 0.08
42 81 0.22
45 81 0.14
81 46 0.24
47 81 0.33
81 58 0.58
64 81 0.41
72 81 0.27
135 81 0.0
82 1 0.24
82 2 0.41
3 82 0.19
10 82 0.14
82 13 0.2
17 82 0.1
37 82 0.18
82 38 0.29
39 82 0.17
42 82 0.22
47 82 0.33
48 82 0.17
82 59 0.33
82 72 0.14
82 79 0.58
135 82 1.0E-4
83 3 0.33
83 23 0.71
83 27 0.71
83 29 0.32
83 33 0.71
37 83 0.1
39 83 0.15
83 45 0.24
48 83 0.3
83 51 0.71
83 60 0.71
83 66 0.71
71 83 0.26
135 83 2.0E-4
4 84 0.63
84 6 1.0
7 84 0.82
84 19 1.0
84 20 1.0
84 22 1.0
35 84 0.82
36 84 0.63
37 84 0.14
39 84 0.21
45 84 0.34
46 84 0.29
48 84 0.43
59 84 0.82
69 84 0.71
71 84 0.37
73 84 0.71
74 84 0.82
84 75 1.0
78 84 0.63
135 84 3.0E-4
1 85 0.15
5 85 0.21
8 85 0.1
85 11 0.12
17 85 0.2
37 85 0.27
39 85 0.11
42 85 0.14
45 85 0.18
72 85 0.09
135 85 0.0
5 86 0.1
86 8 0.39
17 86 0.25
86 26 0.71
37 86 0.14
39 86 0.21
86 42 0.53
86 47 0.41
86 53 0.35
86 70 0.5
71 86 0.18
86 72 0.17
86 85 0.27
135 86 2.0E-4
2 87 0.25
5 87 0.1
10 87 0.35
11 87 0.45
87 12 0.63
17 87 0.12
87 30 0.71
37 87 0.14
38 87 0.35
39 87 0.21
41 87 0.29
53 87 0.35
72 87 0.17
135 87 2.0E-4
2 88 0.35
3 88 0.33
11 88 0.32
37 88 0.1
38 88 0.5
88 65 1.0
88 76 0.71
78 88 0.45
135 88 1.0E-4
2 89 0.35
3 89 0.33
11 89 0.32
89 28 0.71
37 89 0.1
38 89 0.5
72 89 0.24
89 76 0.71
135 89 1.0E-4
90 4 0.45
90 5 0.14
90 8 0.14
90 9 0.22
90 15 0.71
90 16 0.5
90 18 0.29
90 21 0.35
90 25 0.5
90 27 0.35
90 34 0.5
90 35 0.29
90 36 0.45
90 37 0.2
90 39 0.07
90 43 0.35
90 46 0.2
90 48 0.15
90 50 0.5
90 52 0.5
90 55 0.41
90 57 0.35
90 62 0.16
90 63 0.15
90 66 0.35
90 67 0.5
90 69 0.25
90 71 0.39
90 72 0.12
90 73 0.25
90 74 0.29
90 78 0.22
90 80 0.5
135 90 5.0E-4
91 4 0.89
91 6 0.71
91 7 0.58
91 18 0.29
91 19 0.71
91 20 0.71
91 22 0.71
91 34 0.5
91 35 0.87
91 36 0.89
91 37 0.2
91 39 0.29
91 45 0.24
91 46 0.2
91 48 0.3
91 50 0.5
91 59 0.58
91 67 0.5
91 69 0.75
91 71 0.52
91 73 0.75
91 74 0.58
91 75 0.71
91 78 0.89
91 84 0.71
91 90 0.25
91 135 4.0E-4
4 92 0.63
92 6 1.0
7 92 0.82
92 19 1.0
92 20 1.0
92 22 1.0
35 92 0.82
36 92 0.63
37 92 0.14
39 92 0.21
45 92 0.34
46 92 0.29
48 92 0.43
59 92 0.82
69 92 0.71
71 92 0.37
73 92 0.71
74 92 0.82
92 75 1.0
78 92 0.63
92 84 1.0
91 92 0.71
135 92 3.0E-4
2 93 0.35
10 93 0.25
17 93 0.17
37 93 0.1
39 93 0.15
135 93 0.0
5 94 0.14
94 8 0.28
17 94 0.17
94 26 1.0
37 94 0.1
39 94 0.15
94 42 0.38
94 47 0.58
94 53 0.5
94 70 0.71
71 94 0.26
94 86 0.71
135 94 2.0E-4
5 95 0.14
8 95 0.28
95 16 1.0
21 95 0.71
95 25 1.0
37 95 0.1
95 46 0.41
95 52 1.0
55 95 0.41
62 95 0.32
63 95 0.3
90 95 0.5
135 95 1.0E-4
96 2 0.32
96 3 0.15
5 96 0.06
96 8 0.12
96 10 0.22
96 11 0.14
96 12 0.2
96 13 0.16
17 96 0.31
96 26 0.45
96 30 0.45
37 96 0.23
96 38 0.45
39 96 0.33
96 41 0.18
96 42 0.34
96 47 0.52
96 48 0.13
96 53 0.45
96 59 0.26
96 70 0.32
71 96 0.12
96 72 0.11
96 79 0.45
96 82 0.52
96 86 0.32
96 87 0.32
96 94 0.45
135 96 3.0E-4
97 3 0.19
5 97 0.08
97 9 0.26
97 15 0.41
97 18 0.33
97 23 0.82
97 27 0.82
97 29 0.18
97 33 0.82
37 97 0.18
39 97 0.17
97 43 0.41
97 45 0.28
48 97 0.35
97 51 0.82
97 57 0.41
97 60 0.82
97 66 0.82
71 97 0.3
97 72 0.27
97 83 0.58
90 97 0.29
135 97 4.0E-4
4 98 0.3
5 98 0.23
98 6 0.47
7 98 0.38
8 98 0.09
10 98 0.08
13 98 0.12
17 98 0.12
18 98 0.19
98 19 0.47
98 20 0.47
98 22 0.47
23 98 0.24
29 98 0.11
98 31 0.33
33 98 0.24
35 98 0.38
36 98 0.3
37 98 0.3
39 98 0.44
98 43 0.24
45 98 0.32
98 46 0.27
48 98 0.3
49 98 0.29
51 98 0.24
53 98 0.17
98 54 0.45
98 56 0.33
98 57 0.24
59 98 0.38
60 98 0.24
62 98 0.11
63 98 0.1
68 98 0.19
69 98 0.33
71 98 0.52
72 98 0.16
73 98 0.33
98 74 0.38
98 75 0.47
98 77 0.33
78 98 0.3
98 84 0.47
91 98 0.33
98 92 0.47
97 98 0.19
135 98 3.0E-4
5 99 0.25
99 8 0.62
99 9 0.6
99 11 0.14
17 99 0.39
99 24 0.45
99 26 0.45
99 29 0.57
99 32 0.52
37 99 0.23
39 99 0.33
99 40 0.45
99 41 0.37
99 42 0.68
99 47 0.26
99 53 0.22
99 54 0.2
99 70 0.63
71 99 0.35
99 86 0.32
99 94 0.45
99 96 0.2
135 99 2.0E-4
100 1 0.29
100 2 0.25
100 3 0.12
4 100 0.32
5 100 0.1
100 6 0.5
7 100 0.41
100 19 0.5
100 20 0.5
100 22 0.5
100 23 0.5
100 27 0.25
100 29 0.11
100 33 0.5
35 100 0.41
36 100 0.32
37 100 0.29
39 100 0.21
100 45 0.34
100 46 0.14
48 100 0.32
100 51 0.5
53 100 0.18
100 59 0.41
100 60 0.5
100 66 0.25
69 100 0.35
71 100 0.27
100 72 0.17
100 73 0.35
100 74 0.41
100 75 0.5
78 100 0.32
100 82 0.2
100 83 0.35
100 84 0.5
91 100 0.35
100 92 0.5
100 97 0.41
100 98 0.35
135 100 3.0E-4
101 2 0.11
101 3 0.1
101 4 0.67
101 5 0.17
101 6 0.43
101 7 0.35
101 8 0.42
101 9 0.27
101 10 0.08
101 11 0.19
101 15 0.21
101 17 0.26
101 18 0.17
101 19 0.43
101 20 0.43
101 22 0.43
101 24 0.3
101 26 0.3
101 29 0.29
101 32 0.35
101 34 0.3
101 35 0.52
101 36 0.67
101 37 0.34
101 38 0.15
101 39 0.4
101 40 0.3
101 41 0.25
101 42 0.57
101 45 0.22
101 46 0.25
101 47 0.35
101 48 0.18
101 50 0.3
101 53 0.15
101 54 0.13
101 55 0.12
101 58 0.3
101 59 0.35
101 64 0.21
101 65 0.3
101 67 0.3
101 69 0.45
101 70 0.43
101 71 0.54
101 72 0.07
101 73 0.6
101 74 0.52
101 75 0.43
101 76 0.21
101 78 0.67
101 80 0.3
101 81 0.17
101 84 0.43
101 86 0.21
101 88 0.3
101 90 0.3
101 91 0.6
101 92 0.43
101 94 0.3
101 96 0.13
101 98 0.2
101 99 0.54
101 100 0.21
101 135 9.0E-4
102 2 0.26
102 3 0.08
4 102 0.11
5 102 0.27
102 6 0.17
102 7 0.14
102 8 0.81
102 9 0.33
102 10 0.24
102 11 0.23
102 12 0.11
102 13 0.26
17 102 0.46
102 19 0.17
102 20 0.17
102 22 0.17
102 24 0.24
102 26 0.24
102 29 0.54
102 30 0.24
102 31 0.24
102 32 0.28
35 102 0.14
36 102 0.11
37 102 0.42
102 38 0.24
39 102 0.57
102 40 0.24
102 41 0.59
102 42 0.64
102 44 0.24
102 45 0.12
102 46 0.3
102 47 0.42
102 48 0.15
102 53 0.36
102 54 0.11
102 55 0.3
102 56 0.24
102 58 0.24
102 59 0.28
102 63 0.22
102 64 0.17
69 102 0.12
102 70 0.34
71 102 0.25
102 72 0.17
102 73 0.12
102 74 0.14
102 75 0.17
102 77 0.24
78 102 0.11
102 79 0.24
102 81 0.14
102 82 0.14
102 84 0.17
102 85 0.09
102 86 0.34
102 87 0.17
91 102 0.12
102 92 0.17
102 93 0.24
102 94 0.24
102 96 0.33
102 98 0.16
102 99 0.54
102 100 0.09
101 102 0.44
135 102 9.0E-4
103 1 0.29
4 103 0.32
103 14 0.5
103 15 0.5
36 103 0.32
37 103 0.14
45 103 0.17
49 103 0.2
55 103 0.29
69 103 0.35
71 103 0.18
72 103 0.17
73 103 0.35
103 74 0.41
103 80 0.71
90 103 0.35
101 103 0.21
135 103 1.0E-4
8 104 0.28
10 104 0.25
13 104 0.35
17 104 0.17
104 31 1.0
37 104 0.1
39 104 0.15
53 104 0.5
104 56 1.0
104 77 1.0
98 104 0.33
102 104 0.24
135 104 1.0E-4
3 105 0.24
5 105 0.1
10 105 0.18
11 105 0.22
105 12 0.32
13 105 0.25
105 28 0.5
37 105 0.14
49 105 0.2
105 61 0.71
135 105 2.0E-4
5 106 0.1
106 8 0.2
106 10 0.18
17 106 0.12
106 26 0.71
37 106 0.14
39 106 0.21
106 42 0.27
106 47 0.41
106 53 0.35
106 70 0.5
71 106 0.18
106 86 0.5
106 94 0.71
106 96 0.32
106 99 0.32
101 106 0.21
106 102 0.17
135 106 1.0E-4
5 107 0.24
8 107 0.16
107 16 0.58
107 21 0.82
107 25 0.58
37 107 0.18
107 46 0.24
107 52 0.58
55 107 0.24
62 107 0.18
63 107 0.35
72 107 0.27
90 107 0.29
107 95 0.58
135 107 1.0E-4
4 108 0.63
108 6 1.0
7 108 0.82
108 19 1.0
108 20 1.0
108 22 1.0
35 108 0.82
36 108 0.63
37 108 0.14
39 108 0.21
45 108 0.34
46 108 0.29
48 108 0.43
59 108 0.82
69 108 0.71
71 108 0.37
73 108 0.71
74 108 0.82
108 75 1.0
78 108 0.63
108 84 1.0
91 108 0.71
108 92 1.0
98 108 0.47
100 108 0.5
101 108 0.43
102 108 0.17
135 108 3.0E-4
109 3 0.24
109 23 1.0
109 27 0.5
109 29 0.22
109 33 1.0
37 109 0.14
