*Vertices  167
50 20 0.12
50 21 0.46
50 22 0.33
50 23 0.14
50 24 0.25
50 25 0.1
50 26 0.14
50 27 0.14
50 28 0.1
50 29 0.1
50 30 0.18
50 31 0.14
50 32 0.1
50 33 0.1
50 34 0.1
50 35 0.1
50 36 0.14
50 37 0.39
50 39 0.14
50 40 0.1
50 41 0.14
50 42 0.1
50 43 0.1
50 44 0.1
50 45 0.22
50 46 0.22
50 47 0.31
50 48 0.37
50 49 0.72
167 50 0.0010
2 51 0.13
6 51 0.21
10 51 0.46
11 51 0.14
13 51 0.08
14 51 0.1
19 51 0.55
21 51 0.21
37 51 0.48
45 51 0.1
49 51 0.19
50 51 0.27
167 51 0.0
52 2 0.08
3 52 0.06
6 52 0.2
52 10 0.61
52 11 0.17
52 13 0.05
15 52 0.16
52 19 0.4
21 52 0.37
22 52 0.06
52 33 0.23
52 37 0.49
45 52 0.06
49 52 0.32
50 52 0.42
52 51 0.26
167 52 0.0
4 53 0.23
6 53 0.11
19 53 0.29
24 53 0.35
28 53 0.5
37 53 0.21
46 53 0.35
47 53 0.28
48 53 0.23
49 53 0.07
50 53 0.1
167 53 1.0E-4
6 54 0.16
11 54 0.27
17 54 0.2
22 54 0.38
34 54 0.35
49 54 0.1
50 54 0.07
167 54 1.0E-4
55 1 0.18
55 3 0.19
55 4 0.13
55 6 0.27
55 7 0.27
55 8 0.29
55 9 0.1
55 10 0.08
55 12 0.11
55 13 0.12
55 14 0.15
55 15 0.22
55 16 0.27
55 17 0.11
55 21 0.18
55 22 0.1
55 23 0.27
55 24 0.14
55 27 0.14
55 30 0.34
55 31 0.27
55 34 0.19
55 37 0.08
55 39 0.14
55 45 0.21
55 47 0.16
55 48 0.13
55 49 0.38
55 50 0.27
55 52 0.09
167 55 2.0E-4
3 56 0.07
56 4 0.2
6 56 0.22
56 7 0.2
56 8 0.11
10 56 0.12
56 13 0.12
15 56 0.07
56 20 0.33
21 56 0.04
56 23 0.2
56 24 0.31
56 30 0.13
56 46 0.2
56 47 0.24
56 48 0.2
49 56 0.25
50 56 0.23
52 56 0.07
55 56 0.11
167 56 1.0E-4
2 57 0.19
3 57 0.14
6 57 0.13
10 57 0.24
13 57 0.12
15 57 0.13
21 57 0.24
57 33 0.58
49 57 0.13
50 57 0.18
52 57 0.4
55 57 0.11
56 57 0.17
167 57 0.0
58 2 0.07
58 3 0.15
58 4 0.09
58 6 0.36
58 7 0.29
58 8 0.15
58 9 0.1
58 10 0.04
58 11 0.08
58 12 0.12
58 13 0.04
58 14 0.11
58 15 0.09
58 17 0.24
58 19 0.06
58 20 0.12
58 21 0.06
58 22 0.16
58 23 0.29
58 24 0.14
58 30 0.18
58 31 0.14
58 34 0.31
58 37 0.09
58 45 0.22
58 47 0.11
58 48 0.09
58 49 0.36
58 50 0.29
58 51 0.08
58 52 0.09
58 54 0.14
58 55 0.24
58 56 0.18
58 57 0.12
167 58 2.0E-4
59 1 0.07
59 3 0.17
59 4 0.05
59 5 0.16
59 6 0.28
59 8 0.17
59 9 0.11
59 11 0.17
59 12 0.26
59 13 0.18
59 14 0.12
59 15 0.05
59 16 0.16
59 17 0.2
59 21 0.16
59 22 0.18
59 25 0.23
59 26 0.32
59 27 0.16
59 30 0.21
59 32 0.23
59 37 0.05
59 39 0.16
59 40 0.23
59 45 0.06
59 47 0.06
59 48 0.05
59 49 0.32
59 50 0.28
59 55 0.35
59 56 0.13
59 58 0.14
167 59 2.0E-4
4 60 0.56
6 60 0.04
11 60 0.15
19 60 0.12
24 60 0.14
60 27 0.58
28 60 0.2
60 36 0.29
37 60 0.09
45 60 0.22
46 60 0.29
47 60 0.34
48 60 0.47
49 60 0.18
50 60 0.25
60 53 0.41
55 60 0.08
59 60 0.09
167 60 3.0E-4
61 29 1.0
61 43 1.0
61 44 1.0
49 61 0.07
50 61 0.1
167 61 1.0E-4
3 62 0.18
62 31 1.0
34 62 0.35
37 62 0.15
45 62 0.38
49 62 0.1
50 62 0.14
55 62 0.27
58 62 0.14
167 62 0.0
63 8 0.53
63 9 0.35
63 13 0.28
63 30 0.63
63 39 0.5
49 63 0.1
50 63 0.14
55 63 0.27
59 63 0.32
167 63 0.0
64 1 0.1
64 2 0.2
3 64 0.15
6 64 0.1
64 8 0.23
64 9 0.15
10 64 0.25
64 13 0.3
14 64 0.16
15 64 0.14
17 64 0.09
21 64 0.25
22 64 0.08
64 25 0.3
64 26 0.21
64 30 0.27
64 32 0.3
64 33 0.3
37 64 0.06
64 39 0.21
45 64 0.08
49 64 0.24
50 64 0.21
64 51 0.11
52 64 0.14
55 64 0.12
64 57 0.17
59 64 0.21
64 63 0.43
167 64 1.0E-4
65 3 0.08
65 4 0.07
65 5 0.21
65 6 0.3
65 10 0.06
65 12 0.17
65 14 0.08
65 17 0.17
65 20 0.17
65 21 0.08
65 22 0.08
65 27 0.21
65 28 0.15
65 37 0.13
65 40 0.3
65 45 0.16
65 47 0.08
65 48 0.07
65 49 0.24
65 50 0.24
65 51 0.11
65 52 0.07
65 55 0.12
65 56 0.26
65 58 0.18
65 59 0.35
65 60 0.12
167 65 2.0E-4
4 66 0.08
6 66 0.27
10 66 0.29
17 66 0.1
19 66 0.31
20 66 0.41
37 66 0.23
48 66 0.08
49 66 0.21
50 66 0.14
51 66 0.4
56 66 0.2
58 66 0.07
167 66 0.0
6 67 0.16
67 18 0.71
49 67 0.1
50 67 0.07
67 56 0.2
58 67 0.14
65 67 0.21
167 67 0.0
68 2 0.12
68 4 0.65
17 68 0.1
22 68 0.19
68 24 0.63
68 41 0.5
68 46 0.75
68 47 0.78
68 48 0.65
49 68 0.21
50 68 0.22
68 56 0.2
167 68 5.0E-4
6 69 0.11
49 69 0.07
50 69 0.1
56 69 0.29
59 69 0.23
65 69 0.3
167 69 1.0E-4
70 8 0.27
70 9 0.35
70 13 0.14
70 30 0.32
70 42 0.71
49 70 0.1
50 70 0.14
55 70 0.14
59 70 0.16
70 63 0.5
64 70 0.21
167 70 0.0
4 71 0.32
17 71 0.2
24 71 0.25
46 71 0.5
47 71 0.39
48 71 0.32
49 71 0.1
50 71 0.07
68 71 0.5
167 71 1.0E-4
6 72 0.22
11 72 0.19
17 72 0.14
20 72 0.29
22 72 0.13
34 72 0.25
49 72 0.15
50 72 0.15
72 54 0.35
56 72 0.43
58 72 0.1
59 72 0.11
65 72 0.3
66 72 0.18
72 69 0.5
167 72 1.0E-4
2 73 0.15
3 73 0.11
4 73 0.21
73 7 0.63
73 8 0.68
73 9 0.22
73 13 0.09
15 73 0.1
21 73 0.06
73 23 0.63
24 73 0.32
73 30 0.6
73 39 0.32
47 73 0.25
48 73 0.21
49 73 0.16
50 73 0.23
52 73 0.1
55 73 0.26
56 73 0.13
73 57 0.26
58 73 0.27
59 73 0.1
73 63 0.32
64 73 0.13
73 70 0.32
167 73 1.0E-4
3 74 0.14
74 11 0.22
12 74 0.33
17 74 0.17
22 74 0.15
74 26 0.41
74 31 0.82
34 74 0.29
37 74 0.12
45 74 0.31
49 74 0.13
50 74 0.18
55 74 0.22
58 74 0.12
59 74 0.13
74 62 0.82
167 74 0.0
6 75 0.43
75 10 0.05
75 18 0.24
75 20 0.42
75 21 0.07
49 75 0.3
50 75 0.22
55 75 0.09
75 56 0.35
58 75 0.45
59 75 0.11
65 75 0.29
75 66 0.34
75 67 0.34
75 72 0.24
167 75 0.0
6 76 0.44
76 10 0.19
76 18 0.24
76 19 0.2
76 20 0.41
76 37 0.15
49 76 0.31
50 76 0.24
76 51 0.27
55 76 0.05
76 56 0.2
58 76 0.34
59 76 0.05
65 76 0.21
76 66 0.5
76 67 0.33
76 72 0.12
76 75 0.63
167 76 1.0E-4
77 11 0.22
12 77 0.33
17 77 0.5
22 77 0.46
77 26 0.41
34 77 0.29
45 77 0.31
49 77 0.13
50 77 0.18
55 77 0.11
58 77 0.12
59 77 0.13
77 74 0.33
167 77 1.0E-4
78 3 0.09
78 6 0.21
78 10 0.08
78 12 0.22
78 13 0.08
78 14 0.1
78 17 0.22
78 21 0.1
78 22 0.2
78 45 0.1
78 49 0.19
78 50 0.23
78 52 0.09
78 55 0.15
78 56 0.11
78 57 0.22
78 58 0.23
78 59 0.09
78 65 0.11
78 75 0.09
78 76 0.09
78 77 0.22
167 78 0.0
3 79 0.14
6 79 0.06
79 11 0.44
12 79 0.33
17 79 0.33
22 79 0.31
79 26 0.41
79 31 0.41
34 79 0.58
37 79 0.12
45 79 0.15
49 79 0.13
50 79 0.12
79 54 0.41
55 79 0.11
58 79 0.24
59 79 0.13
79 62 0.41
79 72 0.29
79 74 0.67
79 77 0.33
167 79 1.0E-4
4 80 0.46
6 80 0.05
19 80 0.14
24 80 0.18
80 27 0.35
28 80 0.25
37 80 0.11
45 80 0.13
46 80 0.35
47 80 0.42
48 80 0.46
49 80 0.15
50 80 0.2
80 53 0.5
55 80 0.1
59 80 0.11
60 80 0.82
65 80 0.15
167 80 2.0E-4
81 1 0.16
6 81 0.22
81 16 0.35
21 81 0.07
49 81 0.15
50 81 0.05
55 81 0.1
56 81 0.29
58 81 0.1
59 81 0.11
65 81 0.3
67 81 0.35
81 69 0.5
81 72 0.25
75 81 0.24
76 81 0.12
167 81 1.0E-4
4 82 0.23
27 82 0.71
45 82 0.27
47 82 0.28
48 82 0.23
49 82 0.07
50 82 0.1
55 82 0.19
59 82 0.23
60 82 0.41
65 82 0.3
80 82 0.5
167 82 1.0E-4
83 1 0.09
3 83 0.07
83 4 0.38
6 83 0.12
83 7 0.39
83 8 0.21
83 11 0.21
12 83 0.16
83 16 0.2
17 83 0.32
83 19 0.08
83 21 0.04
22 83 0.52
83 23 0.39
83 24 0.29
83 25 0.28
83 26 0.39
83 28 0.14
83 30 0.25
83 32 0.28
83 34 0.14
83 36 0.2
83 37 0.06
83 41 0.2
83 45 0.3
83 46 0.2
83 47 0.38
83 48 0.38
49 83 0.27
50 83 0.31
83 53 0.28
55 83 0.16
83 56 0.08
58 83 0.11
59 83 0.19
83 60 0.34
83 64 0.08
83 68 0.1
83 73 0.25
83 74 0.16
83 77 0.32
78 83 0.1
83 79 0.16
83 80 0.28
167 83 6.0E-4
84 1 0.13
3 84 0.2
6 84 0.09
10 84 0.33
84 13 0.08
14 84 0.11
15 84 0.28
19 84 0.12
21 84 0.11
84 33 0.41
37 84 0.26
49 84 0.18
50 84 0.17
84 51 0.15
52 84 0.28
84 57 0.24
84 64 0.25
65 84 0.12
167 84 0.0
85 1 0.13
85 2 0.2
85 3 0.26
85 6 0.4
85 9 0.1
85 10 0.13
85 11 0.08
85 12 0.24
85 13 0.08
85 14 0.11
85 15 0.14
85 16 0.29
85 17 0.12
85 21 0.14
85 22 0.16
85 31 0.14
85 34 0.1
85 37 0.04
85 45 0.05
85 49 0.36
85 50 0.17
85 52 0.19
85 54 0.29
85 55 0.39
85 56 0.06
85 57 0.24
85 58 0.17
85 59 0.19
85 62 0.14
85 65 0.06
85 72 0.1
85 73 0.09
85 74 0.12
85 75 0.05
85 76 0.1
85 78 0.23
85 79 0.12
85 81 0.1
85 83 0.06
85 167 1.0E-4
86 2 0.08
3 86 0.06
86 4 0.72
6 86 0.08
86 7 0.34
86 8 0.18
86 11 0.09
12 86 0.14
17 86 0.35
86 19 0.07
86 21 0.03
22 86 0.45
86 23 0.34
86 24 0.69
86 25 0.24
86 26 0.34
86 28 0.24
86 30 0.22
86 32 0.24
86 35 0.24
86 37 0.05
86 41 0.34
45 86 0.06
86 46 0.6
86 47 0.74
86 48 0.78
49 86 0.3
50 86 0.34
86 53 0.24
55 86 0.09
86 56 0.21
58 86 0.1
59 86 0.11
86 60 0.1
86 64 0.07
86 66 0.09
86 68 0.69
86 71 0.34
86 73 0.22
86 74 0.14
86 77 0.14
86 79 0.14
86 80 0.12
83 86 0.54
167 86 0.0010
17 87 0.29
22 87 0.27
45 87 0.27
49 87 0.07
50 87 0.1
77 87 0.58
78 87 0.38
83 87 0.28
167 87 0.0
4 88 0.61
6 88 0.04
88 7 0.47
88 8 0.25
17 88 0.1
22 88 0.18
88 23 0.47
24 88 0.24
88 27 0.47
88 30 0.3
36 88 0.24
88 41 0.24
45 88 0.09
47 88 0.37
48 88 0.69
49 88 0.22
50 88 0.27
55 88 0.19
56 88 0.1
58 88 0.14
59 88 0.08
60 88 0.41
65 88 0.1
88 66 0.12
68 88 0.12
88 73 0.3
88 80 0.33
88 82 0.33
83 88 0.37
86 88 0.4
167 88 5.0E-4
89 2 0.09
89 4 0.64
6 89 0.09
89 7 0.39
89 8 0.21
10 89 0.06
17 89 0.16
19 89 0.16
21 89 0.04
22 89 0.15
89 23 0.39
89 24 0.78
89 27 0.2
89 28 0.14
89 30 0.25
34 89 0.14
37 89 0.12
45 89 0.22
89 46 0.69
89 47 0.77
89 48 0.7
49 89 0.27
50 89 0.31
89 51 0.1
52 89 0.06
89 53 0.28
55 89 0.21
89 56 0.24
58 89 0.23
59 89 0.06
89 60 0.23
65 89 0.08
89 68 0.59
89 71 0.39
89 73 0.25
77 89 0.16
89 80 0.28
89 82 0.28
83 89 0.31
86 89 0.67
89 88 0.37
167 89 8.0E-4
90 4 0.41
10 90 0.09
90 13 0.09
15 90 0.1
21 90 0.06
90 24 0.47
90 46 0.63
90 47 0.5
90 48 0.41
49 90 0.16
50 90 0.14
90 56 0.26
64 90 0.13
90 68 0.63
90 71 0.32
86 90 0.43
90 89 0.5
167 90 2.0E-4
91 2 0.19
3 91 0.07
4 91 0.66
6 91 0.06
91 7 0.41
91 8 0.22
17 91 0.08
19 91 0.08
22 91 0.23
91 23 0.41
24 91 0.61
91 28 0.29
91 30 0.26
91 35 0.29
37 91 0.06
91 41 0.2
46 91 0.61
47 91 0.72
48 91 0.73
49 91 0.25
50 91 0.26
91 53 0.29
55 91 0.11
56 91 0.08
58 91 0.12
91 60 0.24
68 91 0.51
91 71 0.41
91 73 0.26
91 80 0.29
83 91 0.4
86 91 0.7
91 88 0.29
89 91 0.64
90 91 0.26
167 91 7.0E-4
92 2 0.19
3 92 0.14
6 92 0.06
10 92 0.12
14 92 0.15
15 92 0.13
21 92 0.24
92 38 0.58
45 92 0.15
49 92 0.13
50 92 0.06
52 92 0.13
92 57 0.33
58 92 0.12
92 73 0.26
85 92 0.12
167 92 0.0
17 93 0.29
22 93 0.27
45 93 0.27
49 93 0.07
50 93 0.1
77 93 0.58
78 93 0.38
83 93 0.28
93 87 1.0
167 93 0.0
4 94 0.26
6 94 0.04
94 8 0.14
94 9 0.19
10 94 0.08
94 13 0.08
15 94 0.09
17 94 0.22
22 94 0.2
94 27 0.27
94 28 0.19
94 30 0.17
94 41 0.27
45 94 0.1
47 94 0.1
48 94 0.35
49 94 0.19
50 94 0.19
55 94 0.07
59 94 0.09
94 60 0.15
94 63 0.27
64 94 0.11
65 94 0.11
94 66 0.13
68 94 0.13
94 70 0.27
94 73 0.17
83 94 0.21
84 94 0.15
86 94 0.28
94 88 0.5
89 94 0.1
91 94 0.11
167 94 2.0E-4
95 2 0.14
3 95 0.2
6 95 0.22
95 9 0.2
10 95 0.17
12 95 0.24
95 13 0.24
14 95 0.21
17 95 0.12
21 95 0.17
22 95 0.11
95 25 0.41
95 26 0.29
95 32 0.41
45 95 0.11
49 95 0.18
50 95 0.08
52 95 0.09
55 95 0.08
95 56 0.12
95 57 0.24
58 95 0.08
59 95 0.09
64 95 0.12
78 95 0.15
83 95 0.11
85 95 0.17
86 95 0.1
92 95 0.24
167 95 0.0
6 96 0.06
10 96 0.12
17 96 0.17
19 96 0.17
21 96 0.08
96 28 0.29
96 29 0.58
37 96 0.12
96 43 0.58
96 44 0.58
45 96 0.31
49 96 0.13
50 96 0.12
96 51 0.22
52 96 0.13
58 96 0.12
96 61 0.58
65 96 0.17
96 89 0.16
96 94 0.22
167 96 1.0E-4
3 97 0.25
97 31 0.71
34 97 0.5
37 97 0.21
45 97 0.27
49 97 0.07
50 97 0.1
55 97 0.19
58 97 0.2
97 62 0.71
74 97 0.58
79 97 0.58
167 97 0.0
4 98 0.32
98 7 1.0
8 98 0.53
98 23 1.0
24 98 0.5
30 98 0.63
47 98 0.39
48 98 0.32
49 98 0.1
50 98 0.14
55 98 0.27
56 98 0.2
58 98 0.29
73 98 0.63
83 98 0.39
86 98 0.34
88 98 0.47
89 98 0.39
91 98 0.41
167 98 2.0E-4
17 99 0.29
22 99 0.27
34 99 0.5
45 99 0.27
49 99 0.07
50 99 0.1
55 99 0.19
58 99 0.2
77 99 0.58
89 99 0.28
167 99 1.0E-4
100 1 0.2
4 100 0.07
6 100 0.14
8 100 0.12
9 100 0.16
10 100 0.06
14 100 0.08
17 100 0.09
21 100 0.17
24 100 0.11
37 100 0.07
46 100 0.11
47 100 0.09
48 100 0.07
49 100 0.23
50 100 0.13
52 100 0.07
55 100 0.12
56 100 0.09
68 100 0.11
85 100 0.06
86 100 0.08
89 100 0.09
90 100 0.14
167 100 0.0
101 1 0.16
6 101 0.23
101 9 0.13
10 101 0.11
101 11 0.2
101 13 0.05
14 101 0.07
17 101 0.07
101 19 0.3
21 101 0.28
101 37 0.28
49 101 0.28
50 101 0.18
52 101 0.18
55 101 0.1
58 101 0.05
101 95 0.11
101 100 0.57
167 101 0.0
6 102 0.11
8 102 0.19
9 102 0.25
10 102 0.2
14 102 0.13
21 102 0.2
102 33 0.5
49 102 0.15
50 102 0.1
52 102 0.23
102 57 0.29
64 102 0.15
84 102 0.2
85 102 0.1
102 100 0.32
167 102 0.0
103 8 0.38
103 9 0.5
103 13 0.3
14 103 0.13
103 30 0.45
103 39 0.35
49 103 0.15
50 103 0.15
55 103 0.19
58 103 0.2
59 103 0.23
103 63 0.71
64 103 0.3
103 70 0.35
103 73 0.22
94 103 0.19
95 103 0.2
101 103 0.13
167 103 0.0
104 2 0.07
104 4 0.5
6 104 0.19
104 10 0.13
104 11 0.25
12 104 0.13
104 15 0.05
17 104 0.31
104 18 0.22
104 19 0.13
104 20 0.38
104 21 0.03
22 104 0.17
104 24 0.39
104 26 0.15
104 27 0.15
104 28 0.22
34 104 0.22
104 36 0.15
104 37 0.09
45 104 0.29
104 46 0.54
104 47 0.48
104 48 0.45
49 104 0.34
50 104 0.33
104 51 0.08
104 52 0.05
104 53 0.22
104 54 0.15
55 104 0.08
104 56 0.31
58 104 0.18
59 104 0.1
104 60 0.36
65 104 0.26
104 66 0.23
104 67 0.15
104 68 0.39
104 71 0.15
104 72 0.33
104 74 0.13
104 75 0.26
104 76 0.21
104 77 0.25
104 79 0.25
104 80 0.33
104 82 0.22
83 104 0.24
104 84 0.09
85 104 0.04
86 104 0.42
104 88 0.15
104 89 0.54
104 90 0.39
104 91 0.31
104 94 0.25
104 96 0.25
104 99 0.22
104 100 0.07
167 104 7.0E-4
105 1 0.08
105 2 0.24
3 105 0.27
105 4 0.49
6 105 0.3
105 7 0.17
105 8 0.09
105 10 0.37
105 11 0.14
12 105 0.07
105 13 0.17
14 105 0.12
